H,k,eps,init,quantity,n_draws,n_degenerate,n,mean,std,min,q05,q25,q50,q75,q95,max,estimate,q50_over_estimate
256,5,1e-05,tdmpc2_default,eps_principal_width_max,1000,1000,1000,0.177107,0.00591141,0.160843,0.167951,0.172753,0.176627,0.180969,0.187557,0.207041,0.158114,1.11709
256,17,1e-05,tdmpc2_default,eps_principal_width,1000,1000,17000,0.162781,0.0222351,0.118663,0.130892,0.144487,0.160382,0.17917,0.20253,0.237914,0.158114,1.01434
256,17,1e-05,tdmpc2_default,eps_principal_width_min,1000,1000,1000,0.129122,0.00287541,0.118663,0.124276,0.127302,0.129143,0.130943,0.133896,0.137167,0.158114,0.816775
256,17,1e-05,tdmpc2_default,eps_principal_width_max,1000,1000,1000,0.206618,0.00629676,0.190207,0.197338,0.202195,0.20604,0.21065,0.217032,0.237914,0.158114,1.30311
256,67,1e-05,tdmpc2_default,eps_principal_width,1000,1000,67000,0.177591,0.0519883,0.100583,0.113015,0.135192,0.16605,0.211024,0.280247,0.351208,0.158114,1.05019
256,67,1e-05,tdmpc2_default,eps_principal_width_min,1000,1000,1000,0.106522,0.00157368,0.100583,0.103795,0.105519,0.106576,0.107615,0.108939,0.112081,0.158114,0.674044
256,67,1e-05,tdmpc2_default,eps_principal_width_max,1000,1000,1000,0.31487,0.0104618,0.290667,0.298828,0.307406,0.314223,0.321295,0.334737,0.351208,0.158114,1.98732
256,223,1e-05,tdmpc2_default,eps_principal_width,1000,1000,223000,0.313003,0.329439,0.0795702,0.0925629,0.125662,0.189746,0.34814,1.00231,3.07557,0.158114,1.20006
256,223,1e-05,tdmpc2_default,eps_principal_width_min,1000,1000,1000,0.0827929,0.000827189,0.0795702,0.0813986,0.0822822,0.0828131,0.0833395,0.0841424,0.0853196,0.158114,0.523756
256,223,1e-05,tdmpc2_default,eps_principal_width_max,1000,1000,1000,2.23804,0.21755,1.73292,1.91775,2.08154,2.21533,2.38134,2.60071,3.07557,0.158114,14.011
